he_displaced_threshold_ft,lighted,le_displaced_threshold_ft,le_elevation_ft,airport_ref,le_longitude_deg,surface,airport_ident,he_longitude_deg,width_ft,le_heading_degT,he_latitude_deg,length_ft,he_heading_degT,he_elevation_ft,id,le_ident,he_ident,le_latitude_deg,closed
,0,,,6599,,TURF,01KS,,100,,,2400,,,255679,18,36,,0
,0,,,6600,,CONC,01KY,,40,,,40,,,265054,H1,,,0
,0,,,6601,,TURF,01LA,,60,,,2000,,,253175,09,27,,0
,0,,,6602,,TURF,01LL,,70,,,1600,,,253330,02,20,,0
,0,,,6603,-91.0802,TURF,01LS,-91.0745,150,92.2,30.7225,1800,,,240115,09,27,30.7227,0
,0,,,6604,,TURF,01MA,,32,,,32,,,265055,H1,,,0
,0,,,6605,,WATER,01MD,,100,,,3500,,,257883,16,34,,0
,0,,,6606,,WATER,01ME,,500,,,5000,,,256660,02,20,,0
,0,,,6606,,WATER,01ME,,500,,,5000,,,256661,15,33,,0
,0,,,6607,,CONC,01MI,,50,,,50,,,265056,H1,,,0
,0,,,6608,,WATER,01MN,,600,,,10000,,,249395,E,W,,0
,0,,,6608,,WATER,01MN,,600,,,10000,,,249396,NW,SE,,0
,0,,,6609,,CONC,01MO,,37,,,37,,,269415,H1,,,0
150,0,,,6610,-114.886,ASPH-G,01MT,-114.875,70,148,48.7833,5000,,,243448,13,31,48.795,0
,1,,,6611,,TURF,01NC,,75,,,3200,,,246908,03,21,,0
,0,,,6611,,ASPH-TURF,01NC,,75,,,2000,,,246909,18,36,,0
,0,,,6612,,TURF,01NE,,50,,,2750,,,252153,10,28,,0
,0,,,6613,,TURF,01NH,,50,,,600,,,249329,17,35,,0
,0,,,6614,,ASPH,01NJ,,80,,,125,,,269416,H1,,,0
,0,,,45537,,DIRT,01NM,,70,,,2700,,,264064,02,20,,0
,0,,,45537,,DIRT,01NM,,70,,,200,,,269417,9,27,,0
,0,,,6615,,GRVL,01NV,,60,,,2000,,,250998,18,36,,0
,0,,,6616,,ASPH,01NY,,75,,,100,,,269418,H1,,,0
,0,,,6617,,CONC-G,01OI,,30,,,30,,,269419,H1,,,0
,1,,,6618,,ASPH,01OK,,25,,,2640,,,253176,17,35,,0
,0,,1058,345166,-96.7365,Turf,01OL,-96.6889,75,50,34.3931,1600,230,1043,345167,5,23,34.3607,0
,0,,,6619,,GRVL-DIRT,01OR,,60,,,4800,,,249546,07,25,,0
,0,,,6620,,TURF,01PA,,60,,,60,,,269420,H1,,,0
,0,,,6621,,TURF,01PN,,100,,,1700,,,254074,06,24,,0
,0,,,6622,,TURF-G,01PS,,120,,,1200,,,255854,03,21,,0
,1,,,6623,,TURF-F,01SC,,118,,,2580,,,255011,18,36,,0
,0,,,6624,,CONC,01TA,,30,,,30,,,269421,H1,,,0
,0,,,6625,,TURF-F,01TE,,55,,,2433,,,253218,04,22,,0
,0,,,6626,,TURF,01TN,,100,,,2700,,,255290,18,36,,0
,0,,,6628,,TURF,01TX,,60,,,500,,,254937,09,27,,0
,0,,,6628,,TURF,01TX,,60,,,700,,,254938,18,36,,0
,0,,,6629,,DIRT-P,01U,,75,,,2700,,,248178,03,21,,0
,0,,,6629,,DIRT-P,01U,,80,,,3400,,,248179,15,33,,0
,0,,,6630,,DIRT-P,01UT,,40,,,3200,,,250607,E,W,,0
,0,,,6631,,TURF,01VA,,60,,,1500,,,248071,03,21,,0
,0,,,6632,,CONC,01WA,,36,,,36,,,269422,H1,,,0
,0,,,6633,-90.3905,TURF,01WI,-90.3892,120,9.6,44.0118,2300,,,239731,01,19,44.0056,0
,1,,,6634,,ASPH,01WN,,40,,,40,,,269423,H1,,,0
,0,,,45900,,CONC-G,01WT,,28,,,28,,,264636,H1,,,0
,0,,,6635,,DIRT-TURF-G,01WY,,75,,,4360,,,256957,12,30,,0
,0,,,6635,,DIRT-TURF-G,01WY,,65,,,2600,,,256958,16,34,,0
,1,,,46288,,CONC,01XA,,50,,,50,,,270898,H1,H1,,0
,0,,,6636,,CONC,01XS,,50,,,50,,,269424,H1,,,0
,0,,,6637,,GRVL,02AK,,45,,,2200,,,253115,15,33,,0
,0,,,6638,,TURF,02AL,,150,,,2000,,,254694,18,36,,0
600,0,600,,43030,,ASPH-G,02AR,,45,,,4400,,,247597,07,25,,0
,0,,,6640,,TURF,02AZ,,80,,,4500,,,250723,17,35,,0
,0,,,6641,,PSP,02CA,,55,,,55,,,265057,H1,,,0
,0,,,6642,,CONC-TURF,02CD,,100,,,2500,,,252831,15,33,,0
,0,,,6643,,DIRT,02CL,,60,,,3000,,,249787,16,34,,0
,0,,,6644,,GRAVEL,02CO,,50,,,2670,,,255048,17,35,,0
,0,,,6645,,ASPH,02CT,,50,,,50,,,265058,H1,,,0
,0,,,6646,,TURF,02FA,,150,,,2485,,,246559,18,36,,0
,0,,190,341544,-86.636,Turf,02FD,-86.6349,150,,30.9571,3443,,209,341547,1,19,30.9476,0
,0,,,45347,,TURF-F,02FL,,100,,,1800,,,264162,12,30,,0
,0,,,6648,,TURF,02GA,,100,,,1200,,,255300,08,26,,0
,0,,,6648,,TURF,02GA,,100,,,1500,,,255301,13,31,,0
,0,,,6649,,TURF,02GE,,100,,,3400,,,256885,09,27,,0
,0,,,6650,,CONC,02HI,,100,,,100,,,265059,H1,,,0
,0,,,6651,,CONC,02IA,,50,,,50,,,265060,H1,,,0
,0,,,6652,,TURF,02ID,,100,,,2000,,,252347,NE,SW,,0
,0,200,,6653,,TURF,02II,,100,,,1100,,,250386,10,28,,0
,0,,,6654,,TURF,02IN,,150,,,1020,,,252716,09,27,,0
,0,,,6655,,MATS,02IS,,40,,,40,,,265061,H1,,,0
,0,,,6656,,TURF,02KS,,100,,,1650,,,248000,11,29,,0
,0,,,6656,,TURF,02KS,,150,,,1950,,,248001,18,36,,0
,0,,,6657,,CONC,02KY,,100,,,100,,,265062,H1,,,0
,0,,,6658,,CONC,02LA,,20,,,20,,,265063,H1,,,0
,0,,,6659,,CONC,02LS,,24,,,24,,,265064,H1,,,0
,0,,,6660,,ASPH,02MA,,50,,,50,,,265065,H1,,,0
,0,,,6661,,TURF,02ME,,60,,,2400,,,250960,14,32,,0
,0,,,6662,,TURF,02MI,,100,,,2000,,,254744,09,27,,0
,0,,,6663,,TURF-P,02MN,,192,,,1897,,,254275,03,21,,0
,0,,,6663,,TURF-F,02MN,,192,,,2500,,,254276,12,30,,0
,0,,,6663,,TURF-P,02MN,,82,,,2553,,,254277,13,31,,0
,0,,,6664,,TURF-G,02MO,,50,,,2200,,,254497,08,26,,0
,0,,,6665,,TURF-F,02MS,,60,,,2150,,,254981,12,30,,0
,0,,,6667,,TURF,02MU,,125,,,1900,,,247902,N,S,,0
,0,,,45686,,TURF,02NC,,100,,,100,,,264707,H1,,,0
